Sl. No.,India/State/UT,Total Number of Schools,Total Number of Enrolments,Total Number of Teachers,Pupil Teacher Ratio,Average Teachers Per School,Average Enrolments Per School,Schools with Zero Enrolments,Teachers in Schools having zero Enrolments,Schools with Single Teachers,Enrolments in Single Teacher Schools
1,India,1471891,248045828,9807600,25,7,169,12954,31981,110971,3994097
2,Andaman and Nicobar Islands,412,72119,5750,13,14,175,3,3,11,87
3,Andhra Pradesh,61373,8741885,338293,26,6,142,84,251,12611,218016
4,Arunachal Pradesh,3490,323717,24700,13,7,93,240,58,618,7980
5,Assam,56630,6922533,342199,20,6,122,0,0,2633,92888
6,Bihar,94686,21348149,657063,32,7,225,117,544,2637,291127
7,Chandigarh,230,265706,10237,26,45,1155,0,0,0,0
8,Chhattisgarh,56615,5776548,278798,21,5,102,108,148,5840,215592
9,Dadra and Nagar Haveli and Daman and Diu,432,141282,4995,28,12,327,0,0,1,5
10,Delhi,5497,4506578,160479,28,29,820,0,0,13,454
11,Goa,1487,304735,14594,21,10,205,4,16,238,3142
12,Gujarat,53626,11496709,394053,29,7,214,274,382,2462,87322
13,Haryana,23517,5599742,250909,22,11,238,81,178,867,40828
14,Himachal Pradesh,17826,1426412,101131,14,6,80,6,10,3473,65819
15,Jammu and Kashmir,24296,2629949,167046,16,7,108,119,238,1330,31054
16,Jharkhand,44475,7143255,206591,35,5,161,199,398,8353,410199
17,Karnataka,75869,11926303,433942,27,6,157,1078,1572,7821,274814
18,Kerala,15864,6281704,291096,22,18,396,104,504,76,1224
19,Ladakh,995,56642,6432,9,6,57,35,21,83,733
20,Lakshadweep,37,12591,911,14,25,340,0,0,0,0
21,Madhya Pradesh,123412,15361543,639525,24,5,124,1211,1924,13198,587208
22,Maharashtra,108237,21375970,738114,29,7,197,18,76,8196,167534
23,Manipur,4646,647434,40921,16,9,139,83,354,320,7699
24,Meghalaya,14601,1052884,55726,19,4,72,146,277,1451,51456
25,Mizoram,3941,293763,23013,13,6,75,39,73,96,3039
26,Nagaland,2725,412975,32602,13,12,152,12,24,31,368
27,Odisha,61693,7756910,335496,23,5,126,8,16,1065,50189
28,Puducherry,735,244828,13202,19,18,333,0,0,0,0
29,Punjab,27404,5988681,273092,22,10,219,15,35,2092,69532
30,Rajasthan,107757,16786065,775745,22,7,156,2167,4398,7688,225187
31,Sikkim,1254,121395,15489,8,12,97,1,1,34,282
32,Tamil Nadu,58722,12993050,550558,24,9,221,490,889,2758,80586
33,Telangana,42901,7293644,341460,21,8,170,2097,2000,5985,88429
34,Tripura,4923,689408,37661,18,8,140,10,12,311,6885
35,Uttar Pradesh,255087,41662794,1538479,27,6,163,906,2895,8866,611950
36,Uttarakhand,22551,2372400,130741,18,6,105,45,57,3447,53773
37,West Bengal,93945,18015525,576557,31,6,192,3254,14627,6366,248696
